organism_name,common_name,description
Petrogale xanthopus xanthopus,,Description
Planigale tenuirostris,flat-skulled marsupial mouse,Description
Petrogale wilkinsi,Wilkin's rock-wallaby,Description
Sminthopsis macroura,stripe-faced dunnart,Description
Petrogale coenensis,,Description
Phascogale tapoatafa,brush-tailed phascogale,Description
Pseudantechinus bilarni,Sandstone dibbler,Description
Perameles nasuta,long-nosed bandicoot,Description
Lagorchestes conspicillatus,spectacled hare-wallaby,Description
Petrogale godmani,Godman's rock wallaby,Description
Hypsiprymnodon moschatus,musky rat kangaroo,Description
Spilocuscus maculatus,,Description
Sminthopsis longicaudata,long-tailed dunnart,Description
Sminthopsis psammophila,sandhill dunnart,Description
Petrogale rothschildi,,Description
Lasiorhinus latifrons,southern hairy-nosed wombat,Description
Petrogale sharmani,,Description
Thylogale billardierii,red-bellied pademelon,Description
Dasyuroides byrnei,kowari,Description
Phalanger orientalis,gray cuscus,Description
Petrogale inornata,unadorned rock wallaby,Description
Petrogale purpureicollis,purple-necked rock-wallaby,Description
Dendrolagus dorianus notatus,,Description
Petrogale concinna monastria,,Description
Petrogale concinna canescens,,Description
Onychogalea unguifera,northern nail-tailed wallaby,Description
Aepyprymnus rufescens,rufous rat-kangaroo,Description
Petrogale xanthopus celeris,,Description
Perameles gunnii,eastern barred bandicoot,Description
Petrogale brachyotis victoriae,,Description
Distoechurus pennatus,New Guinean feather-tailed possum,Description
Echymipera kalubu,Kalubu echymipera,Description
Petrogale mareeba,,Description
Sminthopsis ooldea,Ooldea dunnart,Description
Petrogale persephone,Proserpine rock wallaby,Description
Myoictis melas,three-striped marsupial mouse,Description
Pseudocheirus peregrinus,common ring-tailed possum,Description
Isoodon macrourus macrourus,,Description
Pseudantechinus macdonnellensis,fat-tailed pseudantechinus,Description
Wallabia bicolor,swamp wallaby,Description
Bettongia penicillata,woylie,Description
Antechinus godmani,Atherton antechinus,Description
Petaurus abidi,Northern glider,Description
Murexia longicaudata,short-furred dasyure,Description
Petauroides volans,greater glider,Description
Petrogale lateralis pearsoni,,Description
Osphranter rufus,red kangaroo,Description
Microperoryctes longicauda,striped bandicoot,Description
Lagostrophus fasciatus,banded hare-wallaby,Description
Peroryctes raffrayana,Raffray's bandicoot,Description
Planigale gilesi,flat-skulled marsupial mouse,Description
Dorcopsulus vanheurni,lesser forest wallaby,Description
Bettongia lesueur,boodie,Description
Wyulda squamicaudata,,Description
Dasyurus maculatus,spotted-tailed quoll,Description
Macrotis lagotis,bilby,Description
Isoodon obesulus,southern brown bandicoot,Description
Strigocuscus pelengensis,Banggai cuscus,Description
Dasyurus geoffroii,western quoll,Description
Echymipera clara,Clara's echymipera,Description
Cercartetus caudatus,long-tailed pygmy possum,Description
Cercartetus lepidus,,Description
Isoodon obesulus obesulus,,Description
Notoryctes typhlops,marsupial mole,Description
Onychogalea fraenata,bridled nail-tailed wallaby,Description
Petropseudes dahli,Rock-haunting ringtail,Description
Setonix brachyurus,quokka,Description
Petrogale lateralis hacketti,,Description
Dactylopsila trivirgata,striped possum,Description
Isoodon obesulus affinis,,Description
Tarsipes rostratus,honey possum,Description
Pseudochirulus herbertensis,Herbert river ringtail,Description
Antechinomys laniger,,Description
Isoodon auratus barrowensis,,Description
Planigale maculata,pygmy planigale,Description
Trichosurus arnhemensis,Northern Brushtail Possum,Description
Phascolosorex dorsalis,narrow-striped marsupial shrew,Description
Dasyurus albopunctatus,New Guinean quoll,Description
Isoodon obesulus peninsulae,,Description
Isoodon obesulus nauticus,,Description
Dasyurus hallucatus,northern quoll,Description
Murexia rothschildi,short-haired marsupial mouse,Description
Antechinus agilis,Agile antechinus,Description
Murexia melanurus,Black-tailed dasyure,Description
Neophascogale lorentzii,long-clawed marsupial mouse,Description
Isoodon fusciventer,,Description
Notamacropus rufogriseus banksianus,,Description
Sminthopsis leucopus,white-footed dunnart,Description
Myoictis leucura,,Description
Echymipera rufescens,long-nosed echymipera,Description
Sminthopsis bindi,,Description
Pseudochirops albertisii,D'Albertis' ringtail,Description
Isoodon auratus auratus,,Description
Pseudantechinus roryi,Rory Cooper's false Antechinus,Description
Sminthopsis aitkeni,Kangaroo Island dunnart,Description
Isoodon macrourus,northern brown bandicoot,Description
Antechinus leo,cinnamon antechinus,Description
Sminthopsis youngsoni,lesser hairy-footed dunnart,Description
Ningaui ridei,Wongai ningaui,Description
Ningaui yvonnae,southern ningaui,Description
Ningaui timealeyi,Pilbara ningaui,Description
Perameles bougainville,western barred bandicoot,Description
Sminthopsis murina,narrow-footed marsupial mouse,Description
Antechinus minimus,swamp antechinus,Description
Dasycercus blythi,Brush-tailed Mulgara,Description
Dasycercus cristicauda,Crest-tailed Mulgara,Description
Myoictis wavicus,,Description
Dasykaluta rosamondae,little red kaluta,Description
Planigale ingrami,,Description
Murexia habbema,Habbema dasyure,Description
Pseudantechinus ningbing,ningbing antechinus,Description
Sminthopsis griseoventer,gray-bellied dunnart,Description
Strigocuscus celebensis,little Celebes cuscus,Description
Myoictis wallacei,,Description
Sminthopsis granulipes,white-tailed dunnart,Description
Dorcopsis hageni,White-striped Dorcopsis,Description
Dactylopsila palpator,long-fingered triok,Description
Antechinus bellus,fawn antechinus,Description
Osphranter robustus,common wallaroo,Description
Sminthopsis dolichura,little long-tailed dunnart,Description
Phalanger vestitus,Stein's cuscus,Description
Sminthopsis virginiae,red-cheeked dunnart,Description
Antechinus mimetes,,Description
Notoryctes caurinus,,Description
Notamacropus irma,western bush wallaby,Description
Caloprymnus campestris,desert rat kangaroo,Description
Notamacropus agilis,Agile wallaby,Description
Sminthopsis gilberti,Gilbert's dunnart,Description
Petaurus norfolcensis,squirrel glider,Description
Microperoryctes papuensis,Papuan bandicoot,Description
Pseudochirulus canescens,Lowland ringtail,Description
Microperoryctes longicauda magnus,,Description
Bettongia tropica,Northern bettong,Description
Pseudochirops archeri,green ringtail possum,Description
Osphranter antilopinus,antelopine kangaroo,Description
Spilocuscus rufoniger,black-spotted cuscus,Description
Cercartetus concinnus,,Description
Hemibelideus lemuroides,Lemur-like ringtail,Description
Thylogale browni,Brown's pademelon,Description
Petaurus australis,yellow-bellied glider,Description
Rhynchomeles prattorum,Seram bandicoot,Description
Notamacropus rufogriseus rufogriseus,,Description
Pseudantechinus woolleyae,Woolley's pseudantechinus,Description
Phalanger sericeus,,Description
Phalanger lullulae,woodlark cuscus,Description
Pseudochirulus caroli,Weyland ringtail,Description
Bettongia anhydra,,Description
Sminthopsis hirtipes,hairy-footed dunnart,Description
Bettongia gaimardi,Tasmanian bettong,Description
Caluromys derbianus,Derby's woolly opossum,Description
Potorous longipes,long-footed potoroo,Description
Parantechinus apicalis,southern dibbler,Description
